rank,symbol,yf_ticker,name,market_cap_zar,market_cap_tier,gics_sector,industry
192,EMH,EMH.JO,eMedia Holdings Limited,1100000000,Micro Cap,Communication Services,Broadcasting
193,EMN,EMN.JO,eMedia Holdings Limited,1100000000,Micro Cap,Communication Services,Broadcasting
194,SSK,SSK.JO,Stefanutti Stocks Holdings Limited,1080000000,Micro Cap,Industrials,Construction & Engineering
195,EPS,EPS.JO,Eastern Platinum Limited,1060000000,Micro Cap,Materials,Platinum Group Metals
196,SNV,SNV.JO,Santova Limited,1040000000,Micro Cap,Industrials,Freight & Logistics
197,YRK,YRK.JO,York Timber Holdings Limited,1020000000,Micro Cap,Materials,Forest Products & Timber
198,MTA,MTA.JO,Metair Investments Limited,970890000,Micro Cap,Consumer Discretionary,Auto Parts
199,BCF,BCF.JO,Bowler Metcalf Limited,943710000,Micro Cap,Materials,Packaging
200,APF,APF.JO,Accelerate Property Fund Limited,920470000,Micro Cap,Real Estate,Diversified REITs
201,TEX,TEX.JO,Texton Property Fund Limited,894300000,Micro Cap,Real Estate,Diversified REITs
202,MST,MST.JO,Mustek Limited,825510000,Micro Cap,Information Technology,IT Hardware Distribution
203,GPL,GPL.JO,Grand Parade Investments Limited,812110000,Micro Cap,Consumer Discretionary,Investment Holding (Gaming/Restaurants)
